accession	collection_date	country	lat_lon	scientific_name	specimen_voucher	sequence_length	trace_count
JQ175963	02-Nov-2005	Uruguay: Artigas	30.81 S 56.096 W	Poospiza lateralis	USNM:Birds:636056	652	2
JQ175962	04-Nov-2005	Uruguay: Artigas	30.81 S 56.096 W	Poospiza lateralis	USNM:Birds:636063	652	2
JQ175961	12-Sep-2002	Uruguay: Tacuarembo	31.394 S 55.96 W	Poospiza lateralis	USNM:Birds:630208	652	2
JQ175960	12-Nov-2005	Uruguay: Artigas	30.493 S 57.738 W	Poospiza cinerea	USNM:Birds:635895	649	2
JQ175959	11-Nov-2005	Uruguay: Artigas	30.493 S 57.738 W	Poospiza cinerea	USNM:Birds:635777	652	2
JQ175958	17-Sep-2002	Uruguay: Colonia	33.939 S 58.289 W	Poospiza cinerea	USNM:Birds:630426	652	2
JQ175957	15-Aug-2001	USA: Washington	46.85 N 120.817 W	Pooecetes gramineus	USNM:Birds:630598	652	2
JQ175956	22-Nov-1994	Myanmar: Pegu		Pomatorhinus schisticeps	USNM:Birds:620302	652	2
JQ175955	29-Apr-1995	Myanmar: Chin		Pomatorhinus ruficollis	USNM:Birds:609295	652	2
JQ175954	20-Apr-1995	Myanmar: Chin		Pomatorhinus ruficollis	USNM:Birds:620565	652	2
JQ175953	19-Apr-1995	Myanmar: Chin		Pomatorhinus ruficollis	USNM:Birds:620559	652	2
JQ175952	12-Feb-2001	Myanmar: Kachin	27.50 N 97.802 E	Pomatorhinus ferruginosus	USNM:Birds:631800	652	2
JQ175937	10-Apr-2001	Guyana	5.267 N 60.733 W	Phylloscartes chapmani	USNM:Birds:626935	643	2
JQ175936	24-Mar-2001	Guyana	5.283 N 60.75 W	Phylloscartes chapmani	USNM:Birds:626779	639	2
JQ175935	20-Jun-2006	Gabon: Ogooue-Maritime	1.936 S 9.881 E	Pogoniulus subsulphureus	USNM:Birds:623006	652	2
JQ175934	05-Jun-2006	Gabon: Ogooue-Maritime	1.936 S 9.881 E	Pogoniulus subsulphureus	USNM:Birds:627320	652	2
JQ175933	10-Jun-2006	Gabon: Ogooue-Maritime	1.936 S 9.881 E	Pogoniulus subsulphureus	USNM:Birds:627269	652	2
JQ175932	08-Apr-2007	Gabon: Ogooue-Maritime	2.587 S 10.234 E	Pogoniulus atroflavus	USNM:Birds:631601	652	2
JQ175931	22-Feb-1989	Panama: Bocas Del Toro		Poecilotriccus sylvia	USNM:Birds:606989	652	2
JQ175930	06-Nov-2000	Guyana	2.817 N 59.817 W	Poecilotriccus sylvia	USNM:Birds:616774	652	2
JQ175929	07-Nov-2000	Guyana	2.817 N 59.817 W	Poecilotriccus sylvia	USNM:Birds:627503	638	2
JQ175928	24-Feb-1991	Panama: Bocas Del Toro		Poecilotriccus sylvia	USNM:Birds:614075	645	2
JQ175927	08-Apr-2001	Guyana	5.267 N 60.733 W	Poecilotriccus russatus	USNM:Birds:626673	598	2
JQ175926	30-Mar-2001	Guyana	5.267 N 60.733 W	Poecilotriccus russatus	USNM:Birds:626894	639	2
JQ175925	01-Apr-2001	Guyana	5.267 N 60.733 W	Poecilotriccus russatus	USNM:Birds:626801	652	2
JQ175923	15-Aug-2001	USA: Washington	46.85 N 120.817 W	Poecile gambeli	USNM:Birds:630640	652	2
JQ175922	26-Jun-2006	USA: California	35.859 N 118.329 W	Poecile gambeli	USNM:Birds:636873	652	2
JQ175905	03-Oct-2002	Gabon: Ogooue-Maritime	2.343 S 9.592 E	Platysteira cyanea	USNM:Birds:630829	652	2
JQ175904	06-Oct-2002	Gabon: Ogooue-Maritime	2.343 S 9.592 E	Platysteira cyanea	USNM:Birds:630868	652	2
JQ175903	11-Oct-2002	Gabon: Ogooue-Maritime	2.343 S 9.596 E	Platysteira cyanea	USNM:Birds:627701	623	2
JQ175900	07-Jun-2006	Gabon: Ogooue-Maritime	1.848 S 9.86 E	Dyaphorophyia castanea	USNM:Birds:622991	652	2
JQ175884	11-Feb-1994	Papua New Guinea: New Ireland	4.55 S 152.95 E	Erythropitta erythrogaster	USNM:Birds:615028	652	2
JQ175882	16-Jan-1994	Papua New Guinea: New Ireland	4.504 S 152.937 E	Erythropitta erythrogaster	USNM:Birds:615027	652	2
JQ175881	30-May-2001	USA: Virginia	36.649 N 83.244 W	Piranga rubra	USNM:Birds:633842	652	2
JQ175880	29-Mar-2001	Guyana	5.267 N 60.733 W	Piranga leucoptera	USNM:Birds:626849	652	2
JQ175879	11-Apr-2001	Guyana	5.267 N 60.733 W	Piranga leucoptera	USNM:Birds:626850	652	2
JQ175875	18-Mar-1999	Guyana	1.583 N 58.633 W	Piprites chloris	USNM:Birds:625579	643	2
JQ175874	03-Apr-2001	Guyana	5.267 N 60.733 W	Pipreola whitelyi	USNM:Birds:626808	652	2
JQ175873	03-Apr-2001	Guyana	5.267 N 60.733 W	Pipreola whitelyi	USNM:Birds:626916	652	2
JQ175872	01-Apr-2001	Guyana	5.267 N 60.733 W	Pipreola whitelyi	USNM:Birds:626658	652	2
JQ175871	02-Apr-2001	Guyana	5.267 N 60.733 W	Pipreola whitelyi	USNM:Birds:626855	652	2
JQ175870	13-Sep-2002	Uruguay: Tacuarembo	31.299 S 56.029 W	Pipraeidea melanonota	USNM:Birds:630148	652	2
JQ175869	19-Jul-2004	Guyana	4.933 N 59.883 W	Pipra cornuta	USNM:Birds:632801	628	2
JQ175868	20-Jul-2004	Guyana	4.933 N 59.883 W	Pipra cornuta	USNM:Birds:632301	652	2
JQ175867	23-Mar-2002	Guyana	8.25 N 59.733 W	Pipra aureola	USNM:Birds:627592	652	2
JQ175863	22-Jun-2005	USA: California	41.211 N 120.154 W	Pipilo chlorurus	USNM:Birds:634997	652	2
JQ175862	12-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Pipile pipile	USNM:Birds:637122	652	2
JQ175861	06-Feb-2001	Guyana	5.20 N 57.283 W	Pipile pipile	USNM:Birds:627052	639	2
JQ175860	03-Feb-1989	Panama: Bocas Del Toro	9.233 N 82.267 W	Pionus menstruus	USNM:Birds:606741	652	2
JQ175859	17-Jul-2004	Guyana	4.933 N 59.883 W	Pionus menstruus	USNM:Birds:632283	652	2
JQ175858	28-Apr-1990	Panama: Bocas Del Toro	9.083 N 81.85 W	Pionus menstruus	USNM:Birds:607657	616	2
JQ175857	02-Sep-1986	Brazil: Para	3.65 S 52.367 W	Pionus menstruus	USNM:Birds:541614	651	2
JQ175855	19-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Pionus fuscus	USNM:Birds:637235	652	2
JQ175854	18-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	3.356 N 58.701 W	Pionus fuscus	USNM:Birds:637146	652	2
JQ175851	26-Aug-1986	Brazil: Para	3.65 S 52.367 W	Pionopsitta vulturina	USNM:Birds:572509	651	2
JQ175850	29-Aug-1986	Brazil: Para	3.65 S 52.367 W	Pionopsitta vulturina	USNM:Birds:572510	651	2
JQ175849	15-Mar-1999	Guyana	1.583 N 58.633 W	Pionopsitta caica	USNM:Birds:625362	639	2
JQ175848	13-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Pionopsitta caica	USNM:Birds:637221	652	2
JQ175847	15-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Pionopsitta caica	USNM:Birds:637228	652	2
JQ175844	18-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	3.573 N 58.624 W	Pilherodius pileatus	USNM:Birds:637234	652	2
JQ175843	19-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Pilherodius pileatus	USNM:Birds:637147	652	3
JQ175842	22-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Pilherodius pileatus	USNM:Birds:637253	652	2
JQ175841	01-Dec-1994	Myanmar: Sagaing		Picus xanthopygaeus	USNM:Birds:620365	652	2
JQ175840	01-Dec-1994	Myanmar: Sagaing		Picus xanthopygaeus	USNM:Birds:620357	652	2
JQ175839	23-Nov-1994	Myanmar: Pegu		Chrysophlegma flavinucha	USNM:Birds:620313	652	2
JQ175838	05-Dec-1994	Myanmar: Sagaing		Picus chlorolophus	USNM:Birds:620432	652	2
JQ175837	17-Oct-2000	Guyana	6.517 N 57.733 W	Picumnus spilogaster	USNM:Birds:627448	636	2
JQ175835	02-Aug-2004	Guyana: Upper Takutu-Upper Essequibo	3.883 N 59.583 W	Picumnus spilogaster	USNM:Birds:632767	652	2
JQ175832	29-Oct-2005	Uruguay: Rocha	33.196 S 53.669 W	Picumnus nebulosus	USNM:Birds:635843	652	2
JQ175831	28-Oct-2005	Uruguay: Rocha	33.196 S 53.669 W	Picumnus nebulosus	USNM:Birds:635835	652	2
JQ175830	12-Sep-2002	Uruguay: Tacuarembo	31.394 S 55.96 W	Picumnus nebulosus	USNM:Birds:630511	652	2
JQ175829	17-Jan-2001	Guyana	5.517 N 60.733 W	Picumnus exilis	USNM:Birds:626756	639	2
JQ175828	13-Mar-2002	Guyana	8.40 N 59.75 W	Picumnus exilis	USNM:Birds:627564	652	2
JQ175827	22-Mar-2002	Guyana	8.25 N 59.733 W	Picumnus exilis	USNM:Birds:627588	644	2
JQ175825	02-Apr-2001	Guyana	5.267 N 60.733 W	Colaptes rubiginosus	USNM:Birds:626803	652	2
JQ175824	25-Mar-2001	Guyana	5.283 N 60.75 W	Colaptes rubiginosus	USNM:Birds:626888	639	2
JQ175819	18-Oct-1995	Argentina: Corrientes	27.842 S 58.812 W	Picoides mixtus	USNM:Birds:616293	652	2
JQ175818	26-May-2006	Greece: Macedonia	41.343 N 24.562 E	Leiopicus medius	USNM:Birds:637493	652	2
JQ175817	10-Dec-1986	USA: Florida		Picoides borealis	USNM:Birds:622475	652	2
JQ175816	24-Jun-2005	USA: California	40.668 N 120.851 W	Picoides arcticus	USNM:Birds:634962	652	2
JQ175815	10-Feb-2001	Guyana	5.20 N 57.283 W	Piaya melanogaster	USNM:Birds:627209	652	2
JQ175814	26-Apr-2000	Guyana	6.017 N 58.20 W	Piaya melanogaster	USNM:Birds:622314	652	2
JQ175813	25-Jan-1994	Papua New Guinea: New Ireland	4.45 S 152.933 E	Phylloscopus trivirgatus	USNM:Birds:615031	652	2
JQ175809	09-May-1989	Philippines: Luzon	17.85 N 121.983 E	Phylloscopus cebuensis	USNM:Birds:607472	648	2
JQ175807	08-May-1989	Philippines: Luzon	17.85 N 121.983 E	Phylloscopus cebuensis	USNM:Birds:607470	648	2
JQ175806	02-Dec-1997	Myanmar: Sagaing		Phylloscopus armandii	USNM:Birds:616428	652	2
JQ175805	05-Dec-1994	Myanmar: Sagaing		Phylloscopus armandii	USNM:Birds:620426	652	2
JQ175804	02-Dec-1997	Myanmar: Sagaing		Phylloscopus armandii	USNM:Birds:586585	603	2
JQ175802	16-Mar-1999	Guyana	1.583 N 58.567 W	Phylloscartes virescens	USNM:Birds:625634	631	2
JQ175801	13-Sep-2002	Uruguay: Tacuarembo	31.309 S 56.038 W	Phylloscartes ventralis	USNM:Birds:630283	652	2
JQ175800	06-Sep-2002	Uruguay: Soriano	33.744 S 57.20 W	Phylloscartes ventralis	USNM:Birds:630195	652	2
JQ175799	11-Mar-1991	Panama: Bocas Del Toro		Phylloscartes superciliaris	USNM:Birds:614073	648	2
JQ175797	11-Mar-1991	Panama: Bocas Del Toro		Phylloscartes superciliaris	USNM:Birds:615205	648	2
JQ175796	23-Feb-2007	Guyana: Cuyuni-Mazaruni	5.984 N 61.045 W	Phylloscartes nigrifrons	USNM:Birds:639210	652	2
JQ175795	04-Apr-2001	Guyana	5.267 N 60.733 W	Phylloscartes nigrifrons	USNM:Birds:626920	652	2
JQ175794	22-Mar-2001	Guyana	5.283 N 60.75 W	Phylloscartes nigrifrons	USNM:Birds:626842	639	2
JQ175792	29-Sep-2002	Gabon: Ogooue-Maritime	2.34 S 9.598 E	Phyllastrephus icterinus	USNM:Birds:630799	652	2
JQ175791	07-Jun-2006	Gabon: Ogooue-Maritime	1.848 S 9.86 E	Phyllastrephus icterinus	USNM:Birds:627294	652	2
JQ175789	07-Oct-1995	Argentina: Tucuman	26.738 S 65.768 W	Phrygilus unicolor	USNM:Birds:620749	652	2
JQ175788	02-Oct-1995	Argentina: Tucuman	26.75 S 65.738 W	Phrygilus unicolor	USNM:Birds:616264	652	2
JQ175787	08-Sep-1998	Guyana	1.383 N 58.933 W	Phoenicircus carnifex	USNM:Birds:621804	652	2
JQ175786	04-Oct-1997	Guyana: North West	7.367 N 60.483 W	Phoenicircus carnifex	USNM:Birds:586458	607	2
JQ175784	26-Sep-1986	Brazil: Para	3.65 S 52.367 W	Phlegopsis nigromaculata	USNM:Birds:541443	652	2
JQ175783	28-Oct-2005	Uruguay: Rocha	33.229 S 53.718 W	Phimosus infuscatus	USNM:Birds:635744	652	2
JQ175782	28-Oct-2005	Uruguay: Rocha	33.229 S 53.718 W	Phimosus infuscatus	USNM:Birds:635743	652	2
JQ175781	05-Feb-2001	Guyana	5.20 N 57.283 W	Philydor pyrrhodes	USNM:Birds:622929	652	2
JQ175780	23-Mar-2002	Guyana	8.25 N 59.733 W	Philydor pyrrhodes	USNM:Birds:623207	652	2
JQ175779	18-Mar-2002	Guyana	8.25 N 59.733 W	Philydor pyrrhodes	USNM:Birds:616822	643	2
JQ175778	13-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Philydor erythrocercum	USNM:Birds:637058	652	2
JQ175777	12-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Philydor erythrocercum	USNM:Birds:637215	652	2
JQ175775	12-Mar-2002	Guyana	8.40 N 59.75 W	Philohydor lictor	USNM:Birds:623151	615	2
JQ175773	25-Jan-1994	Papua New Guinea: New Ireland	4.45 S 152.933 E	Philemon eichhorni	USNM:Birds:615049	652	2
JQ175772	07-May-1989	Philippines: Luzon	17.85 N 121.983 E	Phapitreron leucotis	USNM:Birds:607277	651	2
JQ175771	29-Apr-1989	Philippines: Luzon	17.917 N 122.033 E	Phapitreron leucotis	USNM:Birds:607281	651	2
JQ175769	10-May-1989	Philippines: Luzon	17.833 N 122.017 E	Phapitreron amethystinus	USNM:Birds:607284	652	2
JQ175768	29-Apr-1989	Philippines: Luzon	17.917 N 122.033 E	Phapitreron amethystinus	USNM:Birds:607282	651	2
JQ175767	27-May-1991	Australia: Queensland		Microcarbo melanoleucos	USNM:Birds:609208	652	2
JQ175766	19-Apr-1990	Panama: Bocas Del Toro		Nannopterum brasilianus	USNM:Birds:613349	652	2
JQ175765	01-Jan-2001	Panama: Chiriqui		Phainoptila melanoxantha	USNM:Birds:607619	652	2
JQ175763	01-Jan-2001	Panama: Chiriqui		Phainoptila melanoxantha	USNM:Birds:542851	645	2
JQ175762	22-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Phaetusa simplex	USNM:Birds:637257	652	2
JQ175761	14-Feb-1989	Panama: Bocas Del Toro		Phaethornis longuemareus	USNM:Birds:606774	652	2
JQ175760	24-Mar-2002	Guyana	8.25 N 59.733 W	Phaethornis longuemareus	USNM:Birds:627734	652	2
JQ175759	24-Mar-2002	Guyana	8.25 N 59.733 W	Phaethornis longuemareus	USNM:Birds:627595	652	2
JQ175758	24-Apr-1990	Panama: Bocas Del Toro		Phaethornis longuemareus	USNM:Birds:607686	645	2
JQ175757	14-Feb-1989	Panama: Bocas Del Toro		Phaethornis longuemareus	USNM:Birds:606773	652	2
JQ175755	01-Jan-2001	Panama: Chiriqui		Phaethornis guy	USNM:Birds:613288	645	2
JQ175754	01-Jan-2001	Panama: Chiriqui		Phaethornis guy	USNM:Birds:607602	645	2
JQ175752	03-Nov-2000	Guyana	2.817 N 59.817 W	Phaethornis augusti	USNM:Birds:627484	649	2
JQ175751	02-Nov-2000	Guyana	2.817 N 59.817 W	Phaethornis augusti	USNM:Birds:625872	652	2
JQ175750	09-Jul-2001	Johnston Atoll: Johnston Island		Phaethon rubricauda	USNM:Birds:631401	652	2
JQ175749	19-Jun-2001	Johnston Atoll: Johnston Island		Phaethon rubricauda	USNM:Birds:631402	652	2
JQ175748	26-Feb-1990	Pacific Ocean	2.00 S 140.00 W	Phaethon rubricauda	USNM:Birds:613276	652	2
JQ175747	17-Oct-2000	Guyana	6.517 N 57.733 W	Phaeomyias murina	USNM:Birds:627366	613	2
JQ175746	10-May-1989	Philippines: Luzon	17.85 N 121.983 E	Dasylophus superciliosus	USNM:Birds:607302	652	2
JQ175745	08-Sep-2002	Uruguay: Soriano	33.783 S 57.333 W	Phacellodomus striaticollis	USNM:Birds:630411	652	2
JQ175744	17-Sep-2002	Uruguay: Colonia	33.939 S 58.289 W	Phacellodomus striaticollis	USNM:Birds:630294	652	2
JQ175743	16-Sep-2002	Uruguay: Colonia	33.939 S 58.289 W	Phacellodomus sibilatrix	USNM:Birds:630373	652	2
JQ175742	18-Sep-2002	Uruguay: Colonia	33.869 S 58.226 W	Phacellodomus sibilatrix	USNM:Birds:630431	652	2
JQ175741	17-Sep-2002	Uruguay: Colonia	33.939 S 58.289 W	Phacellodomus sibilatrix	USNM:Birds:630292	652	2
JQ175740	24-Jan-2003	USA: Florida		Petrochelidon fulva	USNM:Birds:601974	633	2
JQ175739	26-Jul-2004	Guyana	4.965 N 59.914 W	Perissocephalus tricolor	USNM:Birds:632471	652	2
JQ175737	06-Nov-2000	Guyana	2.817 N 59.817 W	Perissocephalus tricolor	USNM:Birds:627399	652	2
JQ175736	19-Aug-2000	USA: Alaska	64.761 N 147.035 W	Perisoreus canadensis	USNM:Birds:601713	652	2
JQ175735	20-Aug-2001	USA: Washington	46.351 N 121.524 W	Perisoreus canadensis	USNM:Birds:630601	652	2
JQ175734	21-Jul-2004	Guyana	4.933 N 59.883 W	Periporphyrus erythromelas	USNM:Birds:632431	652	2
JQ175732	29-Nov-1997	Myanmar: Sagaing		Pericrocotus flammeus	USNM:Birds:616416	652	2
JQ175731	29-Nov-1997	Myanmar: Sagaing		Pericrocotus flammeus	USNM:Birds:586573	652	2
JQ175730	05-Dec-1994	Myanmar: Sagaing		Pericrocotus cinnamomeus	USNM:Birds:620438	652	2
JQ175729	09-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Percnostola rufifrons	USNM:Birds:636998	652	2
JQ175728	06-Apr-2001	Guyana	5.267 N 60.733 W	Percnostola leucostigma	USNM:Birds:626860	643	2
JQ175727	01-Apr-2001	Guyana	5.267 N 60.733 W	Percnostola leucostigma	USNM:Birds:626659	652	2
JQ175726	23-Mar-2001	Guyana	5.283 N 60.75 W	Percnostola leucostigma	USNM:Birds:626773	652	2
JQ175725	21-Mar-2001	Guyana	5.283 N 60.75 W	Percnostola leucostigma	USNM:Birds:626876	652	2
JQ175724	24-Jul-2004	Guyana	4.965 N 59.914 W	Percnostola leucostigma	USNM:Birds:632455	652	2
JQ175723	28-Aug-1986	Brazil: Para	3.65 S 52.367 W	Percnostola leucostigma	USNM:Birds:562322	652	2
JQ175721	06-May-1989	Philippines: Luzon	17.85 N 121.983 E	Penelopides panini	USNM:Birds:607363	652	2
JQ175720	10-May-1989	Philippines: Luzon	17.85 N 121.983 E	Penelopides panini	USNM:Birds:607366	651	2
JQ175719	27-Apr-1990	Panama: Bocas Del Toro		Penelope purpurascens	USNM:Birds:613361	652	2
JQ175717	31-Aug-1986	Brazil: Para	3.65 S 52.367 W	Penelope pileata	USNM:Birds:572502	651	2
JQ175716	03-Nov-2005	Uruguay: Artigas	30.81 S 56.096 W	Penelope obscura	USNM:Birds:635855	652	2
JQ175715	22-Oct-2005	Uruguay: Maldonado	34.279 S 54.604 W	Penelope obscura	USNM:Birds:635786	652	3
JQ175714	02-Nov-2005	Uruguay: Artigas	30.81 S 56.096 W	Penelope obscura	USNM:Birds:635756	652	2
JQ175712	09-Feb-2001	Guyana	5.20 N 57.283 W	Penelope marail	USNM:Birds:627056	652	2
JQ175708	20-Sep-1997	Guyana: Northwest District	7.367 N 60.483 W	Penelope jacquacu	USNM:Birds:621389	651	2
JQ175707	08-Dec-1997	Myanmar: Sagaing		Pellorneum ruficeps	USNM:Birds:616425	652	2
JQ175706	28-Nov-1997	Myanmar: Sagaing		Pellorneum ruficeps	USNM:Birds:616423	644	2
JQ175705	29-Nov-1997	Myanmar: Sagaing		Pellorneum ruficeps	USNM:Birds:616424	652	2
JQ175704	05-Sep-1991	Pacific Ocean	5.00 S 110.00 W	Pelagodroma marina	USNM:Birds:615344	652	2
JQ175703	05-Sep-1991	Pacific Ocean		Pelagodroma marina	USNM:Birds:614205	652	2
JQ175702	22-Sep-1997	Guyana: Northwest District	7.367 N 60.483 W	Patagioenas subvinacea	USNM:Birds:586304	652	2
JQ175701	12-Mar-1991	Panama: Bocas Del Toro		Patagioenas subvinacea	USNM:Birds:613971	652	2
JQ175697	13-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Patagioenas plumbea	USNM:Birds:637130	652	2
JQ175681	19-Apr-1995	Myanmar: Chin		Parus monticolus	USNM:Birds:620560	652	2
JQ175680	25-Feb-2001	Myanmar: Kachin	28.168 N 97.68 E	Parus monticolus	USNM:Birds:631846	652	2
JQ175678	05-Aug-2004	Guyana: Upper Takutu-Upper Essequibo	3.883 N 59.583 W	Paroaria gularis	USNM:Birds:632720	652	2
JQ175677	05-Aug-2004	Guyana: Upper Takutu-Upper Essequibo	3.883 N 59.583 W	Paroaria gularis	USNM:Birds:632508	650	2
JQ175676	06-Sep-2002	Uruguay: Soriano	33.783 S 57.233 W	Pardirallus sanguinolentus	USNM:Birds:630136	652	2
JQ175674	25-Oct-2005	Uruguay: Rocha		Pardirallus maculatus	USNM:Birds:635726	652	2
JQ175673	10-May-1988	Australia: New South Wales		Pardalotus punctatus	USNM:Birds:610570	652	2
JQ175671	10-May-1989	Philippines: Luzon	17.833 N 122.017 E	Periparus elegans	USNM:Birds:607534	644	2
JQ175670	16-Feb-2001	Myanmar: Kachin	27.746 N 97.723 E	Paradoxornis nipalensis	USNM:Birds:631818	652	2
JQ175669	12-Feb-2001	Myanmar: Kachin	27.50 N 97.802 E	Paradoxornis atrosuperciliaris	USNM:Birds:631796	652	2
JQ175668	04-Sep-2002	Uruguay: Soriano	33.783 S 57.333 W	Parabuteo unicinctus	USNM:Birds:630259	629	2
JQ175667	04-May-1990	Panama: Chiriqui		Panterpe insignis	USNM:Birds:542828	645	2
JQ175666	01-Jan-2001	Panama: Chiriqui		Panterpe insignis	USNM:Birds:607605	652	2
JQ175649	16-Jan-1994	Papua New Guinea: New Ireland	4.50 S 152.933 E	Pachycephala pectoralis	USNM:Birds:608694	652	2
JQ175647	01-Dec-1994	Myanmar: Sagaing		Otus scops	USNM:Birds:620359	652	2
JQ175646	29-Apr-1989	Philippines: Luzon	17.917 N 122.033 E	Otus megalotis	USNM:Birds:607322	651	2
JQ175645	08-May-1989	Philippines: Luzon	17.85 N 121.983 E	Otus megalotis	USNM:Birds:607323	651	2
JQ175629	06-Apr-1996	Guyana: Berbice	5.667 N 57.883 W	Orthopsittaca manilata	USNM:Birds:621096	652	2
JQ175628	12-Mar-1999	Guyana	1.583 N 58.633 W	Ortalis motmot	USNM:Birds:625346	652	2
JQ175627	22-Jan-2001	Guyana	5.517 N 60.733 W	Ortalis motmot	USNM:Birds:627047	639	2
JQ175626	15-Jul-2004	Guyana	4.933 N 59.883 W	Ortalis motmot	USNM:Birds:632397	652	2
JQ175625	20-Apr-1990	Panama: Bocas Del Toro		Ortalis cinereiceps	USNM:Birds:613360	652	2
JQ175621	13-Feb-1989	Panama: Bocas Del Toro	9.233 N 82.267 W	Ornithion brunneicapillus	USNM:Birds:606993	652	2
JQ175620	15-Apr-2007	Gabon: Ogooue-Maritime	2.587 S 10.234 E	Oriolus brachyrhynchus	USNM:Birds:631629	652	2
JQ175619	21-Aug-2001	USA: Washington	46.986 N 120.837 W	Geothlypis tolmiei	USNM:Birds:630653	652	2
JQ175618	04-Jun-2003	USA: Virginia	38.963 N 78.014 W	Geothlypis formosa	USNM:Birds:634234	651	2
JQ175617	05-Jun-2002	USA: Virginia	38.953 N 77.998 W	Geothlypis formosa	USNM:Birds:627725	651	2
JQ175616	25-Sep-1998	USA: Virginia		Oporornis agilis	USNM:Birds:601859	651	2
JQ175615	06-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Onychorhynchus coronatus	USNM:Birds:637035	652	2
JQ175614	10-Feb-2001	Guyana	5.20 N 57.283 W	Onychorhynchus coronatus	USNM:Birds:627060	639	2
JQ175613	04-Sep-2001	Johnston Atoll: North Island		Onychoprion lunatus	USNM:Birds:631397	651	2
JQ175612	28-May-2003	Johnston Atoll: North Island		Onychoprion lunatus	USNM:Birds:631995	651	2
JQ175611	01-Jun-1999	Johnston Atoll: North Island		Onychoprion lunatus	USNM:Birds:622584	651	2
JQ175610	25-Mar-2002	Swaziland		Onychognathus morio	USNM:Birds:621681	652	2
JQ175609	22-Apr-1994	Panama: Bocas Del Toro	9.342 N 82.533 W	Oncostoma cinereigulare	USNM:Birds:608934	652	2
JQ175608	26-Apr-1994	Panama: Bocas Del Toro	9.342 N 82.533 W	Oncostoma cinereigulare	USNM:Birds:608935	652	2
JQ175606	18-May-2006	Greece: Lesvos	39.222 N 25.942 E	Oenanthe hispanica	USNM:Birds:637443	652	2
JQ175600	09-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Ochthornis littoralis	USNM:Birds:637196	618	2
JQ175599	14-Mar-1991	Pacific Ocean		Hydrobates tethys	USNM:Birds:608102	652	2
JQ175598	21-Mar-1991	Pacific Ocean	2.00 S 110.00 W	Hydrobates tethys	USNM:Birds:608105	652	2
JQ175597	14-Mar-1991	Pacific Ocean	5.00 S 110.00 W	Hydrobates tethys	USNM:Birds:615163	652	2
JQ175596	05-Aug-2004	Guyana: Upper Takutu-Upper Essequibo	3.883 N 59.583 W	Nyctiprogne leucopyga	USNM:Birds:632514	652	2
JQ175595	02-Sep-1986	Brazil: Para	3.65 S 52.367 W	Nyctiprogne leucopyga	USNM:Birds:562194	652	2
JQ175594	02-Sep-1986	Brazil: Para	3.65 S 52.367 W	Nyctiprogne leucopyga	USNM:Birds:572513	652	2
JQ175593	19-Sep-1986	Brazil: Para	3.65 S 52.367 W	Nyctiphrynus ocellatus	USNM:Birds:562199	652	2
JQ175592	21-Sep-1986	Brazil: Para	3.65 S 52.367 W	Nyctiphrynus ocellatus	USNM:Birds:572516	652	2
JQ175591	20-Sep-1986	Brazil: Para	3.65 S 52.367 W	Nyctiphrynus ocellatus	USNM:Birds:562200	621	2
JQ175590	15-Oct-2000	Guyana	6.30 N 58.217 W	Nyctibius griseus	USNM:Birds:627447	652	2
JQ175589	27-Feb-1989	Panama: Bocas Del Toro		Nyctibius griseus	USNM:Birds:612299	652	2
JQ175588	13-Apr-1994	Panama: Panama		Nyctibius griseus	USNM:Birds:608918	652	2
JQ175587	20-Jan-1994	Panama: Bocas Del Toro		Nyctibius grandis	USNM:Birds:615095	652	2
JQ175586	15-Oct-2000	Guyana	6.30 N 58.217 W	Nyctibius grandis	USNM:Birds:623085	652	2
JQ175585	24-Apr-1999	USA: Virginia		Nyctanassa violacea	USNM:Birds:623331	652	2
JQ175584	30-Aug-2002	Uruguay: Tacuarembo	32.283 S 55.45 W	Pygochelidon cyanoleuca	USNM:Birds:630320	626	2
JQ175582	30-Aug-2002	Uruguay: Tacuarembo	32.283 S 55.45 W	Pygochelidon cyanoleuca	USNM:Birds:630112	652	2
JQ175581	24-Aug-2002	Uruguay: Soriano	33.767 S 57.383 W	Nothura maculosa	USNM:Birds:630474	652	2
